fecha,hora,timestamp_unix,camara_id,lugar,total_personas,ids_detectados,frame_numero,fps_video
2026-05-01,18:02:45,1777676564.674,CAM-01,Pasillo,13,"20,34,19,23,25,74,18,94,103,86,109,45,110",106,30.00
2026-05-01,18:02:45,1777676565.489,CAM-03,Caja,4,"12,15,14,81",116,12.00
2026-05-01,18:02:46,1777676565.734,CAM-02,Entrada,12,"1,2,3,4,59,11,102,78,5,82,84,7",114,13.09
2026-05-01,18:02:46,1777676565.773,CAM-01,Pasillo,12,"20,34,19,23,25,74,18,109,45,110,58,103",109,30.00
2026-05-01,18:02:47,1777676566.732,CAM-03,Caja,5,"12,15,14,81,83",120,12.00
2026-05-01,18:02:47,1777676566.747,CAM-02,Entrada,12,"1,2,3,4,59,11,102,78,112,84,7,82",117,13.09
2026-05-01,18:02:47,1777676566.893,CAM-01,Pasillo,12,"20,34,19,23,25,74,18,109,45,110,58,107",112,30.00
2026-05-01,18:02:48,1777676567.769,CAM-02,Entrada,12,"1,2,3,4,59,11,102,78,112,84,7,82",120,13.09
2026-05-01,18:02:48,1777676567.985,CAM-01,Pasillo,13,"20,34,23,25,74,18,109,45,110,58,103,108,107",115,30.00
2026-05-01,18:02:48,1777676568.034,CAM-03,Caja,4,"12,15,14,81",124,12.00
2026-05-01,18:02:49,1777676569.091,CAM-02,Entrada,11,"1,2,3,4,59,11,102,78,84,82,112",124,13.09
2026-05-01,18:02:49,1777676569.083,CAM-01,Pasillo,14,"20,34,23,25,74,18,45,110,58,103,108,107,76,64",118,30.00
2026-05-01,18:02:49,1777676569.334,CAM-03,Caja,5,"12,81,83,104,14",128,12.00
2026-05-01,18:03:16,1777676596.337,CAM-03,Caja,3,"1,2,3",1,12.00
2026-05-01,18:03:16,1777676596.352,CAM-02,Entrada,7,"4,5,6,7,8,9,10",1,13.09
2026-05-01,18:03:16,1777676596.332,CAM-01,Pasillo,17,"11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",1,30.00
2026-05-01,18:03:17,1777676597.349,CAM-01,Pasillo,13,"11,13,14,15,17,21,26,30,23,29,39,18,12",11,30.00
2026-05-01,18:03:17,1777676597.383,CAM-03,Caja,6,"1,32,31,37,38,2",13,12.00
2026-05-01,18:03:17,1777676597.413,CAM-02,Entrada,7,"4,5,6,7,8,9,10",13,13.09
2026-05-01,18:03:18,1777676598.402,CAM-01,Pasillo,13,"11,14,15,17,21,30,29,24,16,23,27,42,36",26,30.00
2026-05-01,18:03:18,1777676598.414,CAM-02,Entrada,7,"4,5,6,7,8,9,10",29,13.09
2026-05-01,18:03:18,1777676598.430,CAM-03,Caja,4,"1,52,32,3",30,12.00
2026-05-01,18:03:19,1777676599.440,CAM-01,Pasillo,10,"14,15,21,30,29,42,12,16,62,11",41,30.00
2026-05-01,18:03:19,1777676599.478,CAM-02,Entrada,8,"4,5,6,8,57,58,61,7",46,13.09
2026-05-01,18:03:19,1777676599.490,CAM-03,Caja,2,"1,3",47,12.00
2026-05-01,18:03:20,1777676600.497,CAM-03,Caja,3,"1,3,43",62,12.00
2026-05-01,18:03:20,1777676600.504,CAM-01,Pasillo,10,"14,15,21,30,12,62,36,11,23,29",55,30.00
